policy_id,state_name,state_code,policy_name,summary,policy_type,program_category,published,websiteurl,start_date_text,start_year,
728,New Mexico,NM,Renewable Energy Production Tax Credit (Corporate),"** _Note: The tax credits are fully subscribed. As of July 2016, there were973 MW (2,148,000 MWh) of projects in the waiting queue for the wind/biomasstax credit and 1,103 MW (2,369,000 MWh) of projects in the waiting queue forthe solar tax credit._**Enacted in 2002, the New Mexico Renewable Energy Production Tax Creditprovides a tax credit against personal or corporate income tax. To qualify, anenergy generator must have a capacity of at least 1 megawatt and be installedbefore January 2018.  **Amount**  The tax credit is $0.01 per kilowatt-hour (kWh) for companies that generateelectricity from wind or biomass. Companies that generate electricity fromsolar energy receive a tax incentive that varies annually according to thefollowing schedule:    * Year 1: $0.015 per kWh    * Year 2: $0.02 per kWh  * Year 3: $0.025 per kWh  * Year 4: $0.03 per kWh  * Year 5: $0.035 per kWh  * Year 6: $0.04 per kWh  * Year 7: $0.035 per kWh  * Year 8: $0.03 per kWh  * Year 9: $0.025 per kWh  * Year 10: $0.02 per kWhAccording to the Energy, Minerals and Natural Resources Department, thisincentive averages $0.027 per kWh annually.For wind and biomass generators, the credit is applicable only to the first400,000 megawatt-hours (MWh) of electricity in each of 10 consecutive taxableyears. For solar, the credit is applicable only to the first 200,000 MWh ofelectricity in each taxable year.  **Aggregate Cap**  Total generation from both the corporate and personal tax credit programscombined must not exceed 2,000,000 MWh of production annually, plus anadditional 500,000 MWh produced by solar energy. Taxpayers cannot claim boththe corporate and the personal tax credit for the same renewable energysystem.   **Excess Tax Credits**  For electricity generated prior to October 1, 2007, excess credit may becarried forward for up to 5 consecutive taxable years. For electricitygenerated on or after October 1, 2007, excess credit shall be refunded to thetaxpayer in order to allow project owners with limited tax liability to fullyutilize the credit.",Corporate Tax Credit,Financial Incentive,0,http://www.emnrd.state.nm.us/ecmd/CleanEnergyTaxIncentives/ProdTaxCredit.html,07/01/2002,2002,
798,New Mexico,NM,Interconnection Standards,"Interconnection in New Mexico is governed by New Mexico Public RegulationCommission (PRC) Rule 570 and Rule 571. Rule570 applies to all qualifyingfacilities (QFs) under PURPA, which generally includes all renewable-energysystems and combined-heat-and-power (CHP) systems up to 80 megawatts (MW) incapacity. All utilities subject to PRC jurisdiction must offer net meteringand must comply with certain interconnection standards. (Municipal utilities,which are not regulated by the commission, are exempt.) Rule 571, adopted inSeptember 1999, applies to small renewable-energy systems and CHP systems upto 10 kilowatts (kW) in capacity. The purpose of Rule 571 is to simplify theinterconnection requirements for QFs up to 10 kW and to encourage the use ofsmall-scale, customer-owned renewable or alternative-energy resources. Therule includes a standard interconnection agreement. Systems must comply withall local and national standards, including the NEC, IEEE and UL, and mustalso meet any additional requirements approved by the PRC. Net metering isaccomplished using a single, bi-directional meter. A manual externaldisconnect device is required unless the customer and utility agree that themeter can be used to disconnect the system in the case of a power outage.While it is not mandatory, the PRC strongly recommends that a customerpurchase liability insurance, and may require the customer to do so at theutility's request. As a practical matter, PV interconnection in New Mexico isa straightforward process. Most utilities allow the meter to serve as theexternal disconnect. The only testing required is a simple shut-down test toensure that systems recognize when the power grid is down. Rule 570,established to comply with PURPA for QFs up to 80 MW in capacity, addressesthe legal, technical and buy-back rate issues for these larger systems. ThePRC extended the availability of net metering to QFs up to 80 MW in January2007. As part of its January 2007 revisions to Rule 570, the PRC developed astandard interconnection agreement for systems up to 100 kW. Systems must meetutility safety standards, and system owners must pay appropriate""interconnection costs,"" as defined in the rule. All QFs are ""stronglyencouraged to obtain liability insurance."" A utility may require QFs largerthan 50 kW to obtain general liability insurance not to exceed $1 million.Customers must pay demand charges and other charges in accordance withapplicable tariffs, and for any incremental costs associated with installingnecessary metering equipment and facilities. Furthermore, an additionalcustomer charge to cover the added costs of billing and administration may beincluded in a utility's tariff if supported with evidence of need for such acharge. In January 2007, the PRC initiated a proceeding to consider newinterconnection standards and procedures for QFs, with the IEEE 1547 standardforming the basis of the commission's technical interconnection standard. ThePRC also will consider a standard set of procedures to streamline theinterconnection process between a utility and all customer-owned generationfacilities.",Interconnection,Regulatory Policy,0,NA,NA,1999,
866,New Mexico,NM,Mandatory Utility Green Power Option,"**Investor-Owned Utilities (IOUs)**In addition to meeting the requirements of the state renewable portfoliostandard, New Mexico's IOUs are required to offer customers a voluntaryprogram for purchasing renewable energy. The voluntary renewable energy tariffmay also allow consumers to purchase renewable energy within certain energyblocks and by source of renewable energy. IOUs are also required to develop aneducational program communicating the benefits and availability of the greenpower option.The three IOUs that serve New Mexico customers offer the following programs:_El Paso Electric (EPE)_EPE’s voluntary renewable energy program is called the “Renewable EnergyTariff Program.” It uses wind power from EPE’s Hueco Mountain Wind Ranch nearHorizon, Texas. Customers can purchase energy blocks of 100 kilowatt-hours(kWh). The monthly costs per customer class are as follows: $5.84(Residential), $4.26 (small commercial), and $5.48-$5.61 (commercial, generalservice)._Public Service Company of NM (PNM)_PNM’s program is called “Sky Blue.” The electricity that is part of thisprogram is generated from wind (85%) and solar (15%). The wind is generated atthe NM Wind Energy Center close to Fort Sumner, New Mexico and the sun from22,000 solar panels in central New Mexico near Los Lunas. PNM offers twooptions for participating in Sky Blue: (i) buy 100 kWh blocks of electricityfor a monthly cost of $1.70 more than the customer’s normal electricity chargeor (ii) purchase Sky Blue kWh as a percentage (between 1% and 85%) of one’sregular monthly electricity cost with a cost of $0.017 per kWh used additionalabove regular electricity charge. The first option adds a fixed charge to themonthly bill while the second option adds a variable charge since it is basedon a percentage.For more information, visit the PNM program website._Southwestern Public Service (SPS)_SPS’s program is called “Windsource®.” The energy is generated from wind farmsin eastern New Mexico. Similar to PNM, there are two options that involve afixed monthly charge for a premium of $3.17 per 100 kWh block for residentialcustomers, $3.00 per 100 kWh block for commercial customers, or a variablemonthly charge for up to 100% of a customer’s electricity use (~$25.36 monthextra on the electric bill for the average Xcel Energy residential customer).For more information, visit the SPS program website.**Rural Electric Distribution Cooperatives**The state's rural electric distribution cooperatives are also required tooffer a voluntary green power program if their suppliers make such renewableresources available under their supply contracts. They are also required toreport to the commission by April 30th of each year concerning theavailability of renewable energy to them and the annual demand from theircustomers for renewable energy.",Mandatory Utility Green Power Option,Regulatory Policy,1,NA,NA,NA,
1067,New Mexico,NM,Clean Energy Grants Program,"The Clean Energy Grants Program, administered by the Energy Conservation andManagement Division of the New Mexico Energy, Minerals and Natural ResourcesDepartment (ECMD-EMNRD), supports the development of renewable energy, energyefficiency, and alternative transportation fuels technologies. Grants areavailable to municipalities and county governments, state agencies, publicschools (K-12), post-secondary educational institutions(colleges/universities), and tribal entities. Capital projects resulting fromthe current Request for Proposals will be required to meet performancemeasures established for the Program, including a 5% reduction in energyconsumption in building projects or 15% increase in alternative fuel usage.Educational and non-capital projects must provide one of the followingbenefits: increasing the development of clean energy market demand; oradvancing commercialization and widespread application of clean energytechnologies. In 2005, the ECMD-EMNRD awarded a total of about $2 million infunding for 23 projects, including energy efficiency lighting upgrades,photovoltaic and solar thermal installations, wind projects, a landfill gas-to-energy biomass facility, and an expansion of E-85 and biodiesel fuelstation infrastructure within the state.",Grant Program,Financial Incentive,0,http://www.emnrd.state.nm.us/ecmd/html/funding.htm,07/01/2004,2004,
1277,New Mexico,NM,PNM - Performance-Based Solar Program,"** _Note: In November 2016, PNM was granted approval to extend the CustomerSolar REC Purchase Programs through the end of 2019. Program closed to newcustomers starting 1/2023.  _**In March 2006, PNM initiated a renewable energy credit (REC) purchase programas part of its plan to comply with New Mexico's renewable portfolio standard(RPS). PNM will purchase RECs from customers who install photovoltaic (PV) andsolar thermal electric systems up to 100 kilowatts (kW). PNM will then be ableto apply these RECs towards their obligations under the state's RPS, whichrequires 4% of the total generation capacity to come from solar electricityand 0.6% from distributed generation by 2020.REC payments are based on the system's total output. PNM will purchase RECsfrom each participant as part of the regular monthly billing process.Participants will receive a monthly bill documenting the number of kilowatt-hours (kWh) produced by the PV system, the number of RECs purchased by PNM,the purchase price per REC, and the total price of RECs purchased that billingperiod. REC purchase payments will be applied as a credit to the participant'selectric bill on a monthly basis.In November 2016, PNM was granted approval to extend the program for threeyears, ending in 2019.**Systems up to 10 kW**PNM will purchase RECs generated by small PV systems at a rate of $0.0025 perkWh for 8 years of the system's operation. If the amount paid for the RECs isgreater than the total of the customer's monthly electric service plus kWhcharges, the balance of the REC payment will be carried forward as a creditfor the following month's bill if $20 or less. If the REC payment balance isgreater than $20 after credits to the customer's electric bill have been made,the entire REC payment balance will be paid directly to the customer.The annual program capacity for small systems is 2 MW (AC) (6 MW total for the3-year extension). The application fee is $150.**Systems greater than 10 kW up to 100 kW**PNM will purchase RECs generated by PV systems over 10 kW and up to 100 kW ata rate of $0.0025 per kWh for 8 years. The annual program capacity for largesystems is 1 MW (AC) (3 MW total for the 3-year extension). The incentive ratepaid depends on the size of the system:If the amount paid for the RECs is greater than the total of the customer'smonthly electric service plus kWh charges, the balance of the REC payment willbe carried forward as a credit for the following month's bill if $200 or less.If the REC payment balance is greater than $200 after credits to thecustomer's electric bill have been made, the entire REC payment balance willbe paid directly to the customer. PNM is granted at no cost any RECsassociated with net excess generation. The application fee for large systemsis $450.",Performance-Based Incentive,Financial Incentive,0,https://www.pnm.com/solar,03/01/2006,2006,
1295,New Mexico,NM,Solar Market Development Tax Credit,"** _Note: The deadline for qualifying for this tax incentive was 12/31/2016.This summary is here for informational purposes only._**New Mexico provides a 10% personal income tax credit (up to $9,000) forindividuals, sole proprietorship businesses (or one that is required orallowed to elect to file taxes using IRS Form 1040), and agriculturalenterprises who purchase and install certified photovoltaic (PV) and solarthermal systems. Eligible systems include grid-tied commercial PV systems,off-grid and grid-tied residential PV systems, and (active) solar hot water orhot air systems. To be eligible, systems must first be certified by the NewMexico Energy, Minerals and Natural Resources Department. Note that solar poolor hot tub heaters are not eligible for this tax credit. A taxpayer whoinstalls a PV system and a solar thermal system may be eligible to receive aseparate tax credit up to $9,000 for each system.Credits may be carried forward for a maximum of 10 taxable years until fullyexpended. Aggregate credit levels are capped annually at $2,000,000 for solarthermal and $3,000,000 for PV systems.These tax credits are set to expire December 31, 2016.All relevant forms are available at the website listed above.",Personal Tax Credit,Financial Incentive,0,http://www.emnrd.state.nm.us/ECMD/CleanEnergyTaxIncentives/SolarTaxCredit.html,01/01/2009,2009,
1419,New Mexico,NM,Efficient Use of Energy Act,"The Efficient Use of Energy Act of 2005 allows public electric and natural gasutilities to implement cost-effective energy reduction programs. The programsmay be funded through a tariff rider for energy efficiency and load managementprograms. The charges on the consumer cannot exceed the lesser of 3% of thecustomer’s bill or $75,000 per year per customer.  A distribution cooperative may recover costs for energy efficiency,conservation, and load management programs and measures through general rates.Distribution cooperatives, in offering and implementing such programs, shallattempt to minimize any cross-subsidies between customer classes.The Act also provides for monitoring, verification, and periodic reporting bythe utility on its energy efficiency expenditures and overall programeffectiveness. Public utilities must obtain Commission approval of energyefficiency and load management programs before they are implemented. Allinvestor-owned utilities in New Mexico have received approval for their energyefficiency programs.Electric cooperatives must provide written submission of their energyefficiency programs to the Commission, but approval for such programs shallreside with the governing body of each cooperative utility.Large customers may participate in a self-directed program to pay only 30% ofthe tariff rider and implement their own energy efficiency improvements. Thesecustomers must demonstrate that they have exhausted all cost-effective energyefficiency measures at their facilities.",Public Benefits Fund,Regulatory Policy,1,https://www.nm-prc.org/utilities/energy-efficiency/,NA,2005,
1422,New Mexico,NM,PNM - Residential Energy Efficiency Rebate Program,"The Public Service Company of New Mexico offers cash rebates for purchase ofEnergy Star water heater wraps and programmable thermostats as well as theinstallation of low-flow shower heads and pipe insulation. Insulation andductwork rebates are eligible for a 25% rebate. Products must be installed byqualified contractors.  To receive a rebate for the purchase of Energy Star products, fill out theRebate Application.",Rebate Program,Financial Incentive,0,http://www.pnm.com/rebates/home.htm,NA,NA,
1899,New Mexico,NM,Building Energy Code,"_Much of the information presented in this summary is drawn from the U.S.Department of Energy’s (DOE) Building Energy Codes Program and the BuildingCodes Assistance Project (BCAP). For more detailed information about buildingenergy codes, visit the DOE and BCAP websites._    All residential and commercial structures are required to comply with thestate’s energy code. The 2009 New Mexico Energy Conservation Code (NMECC),effective June 2013, is based on 2009 International Energy Conservation Code.One amendment in NMECC to the 2009 IECC established climate zones to determineapplicable building efficiency requirements based on geographic location andaltitude.The state also traditionally adopts the current version of the InternationalConference of Building Officials (ICBO) Uniform Building Codes as a basis forall building codes. These codes are adopted by the state on a 3-year codecycle corresponding with the publication of the ICBO Uniform Codes.Amendments, if any, to the current version of the NMECC must first be proposedby a trade association or other construction group.    Notably, the residential code includes a requirement for new residentialconstruction to account for the possibility of a solar system being installedin the future (see H.B. 610). New construction must include an electricalraceway connecting a future solar installation site with a future electricalequipment site.The NMECC specifies compliance and plan review requirements. The localjurisdiction generally regulates plan review and enforcement (when they electto enforce the code). If the local jurisdiction does not elect to, or does nothave personnel qualified to, enforce the code provisions, the ConstructionIndustries Division (CID) provides the necessary reviews and inspections forresidential buildings. Technical assistance is provided to the CID by theEnergy, Minerals and Natural Resources Department for commercial buildings.The CID reviews plans and inspects all state-owned and state-funded buildings.",Building Energy Code,Regulatory Policy,1,http://bcap-ocean.org/state-country/new-mexico,NA,2013,effective but approved in 2009
1908,New Mexico,NM,Energy Efficiency Standards for State Buildings,"On January 16th, 2006, the governor of New Mexico signed Executive Order2006-001, calling for all Executive Branch state agencies, including theHigher Education Department, to adopt the US Green Buildings Council's LEED*rating system. New construction of public buildings over 15,000 square feet orusing over 50 kW peak electrical demand and renovations involving thereplacement of more than 3 major systems (HVAC, lighting, etc.) must achieve aminimum rating of LEED ""Silver"". Projects between 5,000 and 15,000 square feetmust achieve a minimum delivered energy performance standard of one half ofthe US energy consumption for that building type as defined by the USDepartment of Energy. All other new construction, renovations, repairs, andreplacements of state buildings must employ cost-effective, energy efficient,green building practices to the maximum extent possible.    Furthermore, the act ordered that the Energy, Minerals, and Natural ResourceDepartment (EMNRD) convene a Public Schools Clean Energy Task Force to makerecommendations to ""implement aggressive energy efficiency measures"" in allexisting and newly constructed school buildings.    Executive Order 2007-053, established further energy saving goals forExecutive Branch agencies in New Mexico, as well as the state as a whole. TheOrder set a goal of a 20% reduction below 2005 energy consumption levels forall Executive Branch agencies by 2015. The reduction will be based on theaverage energy usage per square foot of building space. Similarly, allExecutive Branch agencies must reduce the energy usage of their fleets by 20%by 2015 relative to 2005 levels, and based on the average energy usage perstate employee. The state-wide target is for a 20% reduction in per capitaenergy use across all sectors from 2005 levels by 2020, with an interim goalof 10% by 2012. Other provisions in the Executive Order deal with tracking,reporting and other administrative responsibilities related to these goals.    While the Executive Orders generally affect Executive Branch agencies only, SB200 of 2010 established a wider building requirement for certain buildingprojects throughout the state that receive state funding. New buildings andbuilding additions of 3,000 square feet or more, and buildings undergoingcertain system renovations must be designed and constructed to attain EnergyStar certification. SB 200 also provides exemptions to the requirement forhistoric buildings and projects where the costs of compliance would exceed theestimated life-cycle savings of the project.      _*Clickhere for more information on the United States Green Building Council'sLeadership in Energy and Environmental Design (LEED) Green Building RatingSystem._",Energy Standards for Public Buildings,Regulatory Policy,0,http://www.emnrd.state.nm.us/ECMD/GovernmentLeadByExample/governmentleadbyexample.htm,NA,2007,
2128,New Mexico,NM,Kit Carson Electric Cooperative - ETS System Rebate Program,"Kit Carson Electric Cooperative offers financial incentives for its members toinstall energy efficient heating/cooling equipment. Customers who install anElectric Thermal Storage (ETS)/Heat Pump system or a stand-alone ETS systemqualify for a discounted, Time-Of-Use electric rate for space and waterheating usage. Customers are also eligible to receive rebates ranging from$924 up to $3009 depending on the size of the system.",Rebate Program,Financial Incentive,0,http://www.kitcarson.com/index.php?option=com_content&view=article&id=78&Itemid=89,NA,NA,
2471,New Mexico,NM,Construction Standards to Accomodate Solar Collectors,"bill text to be summarized... Section 5. A new section of the Solar CollectorStandards Act is enacted to read: ""CONSTRUCTION STANDARDS TO ACCOMMODATE SOLARCOLLECTORS--RULEMAKING.--The department, the construction industries divisionof the regulation and licensing department and the construction industriescommission shall jointly promulgate rules, standards or codes that establishrequirements for new construction that will accommodate the installation ofsolar collectors to or on the new construction after that construction isotherwise complete, including roof orientation, roof strength, location ofobstructions to sunlight, access to installation locations, built-in conduit,wiring and piping and brackets for attaching solar collectors."" Section 6. Anew section of the Construction Industries Licensing Act is enacted to read:""DIVISION AND COMMISSION--STANDARDS TO ACCOMMODATE SOLAR COLLECTORS.--Asprovided in the Solar Collector Standards Act, the division and commissionshall jointly with the energy, minerals and natural resources departmentpromulgate rules, standards or codes that establish requirements for newconstruction that will accommodate the installation of solar collectors to oron the new construction after the construction is otherwise complete.""",Building Energy Code,Regulatory Policy,0,NA,NA,NA,
2472,New Mexico,NM,Solar Collector Standards,"text to be summarized... ""71-6-4. SHORT TITLE.--Sections 71-6-4 through71-6-10 NMSA 1978 may be cited as the ""Solar Collector Standards Act"".""Section 2. Section 71-6-6 NMSA 1978 (being Laws 1981, Chapter 379, Section 16)is amended to read: ""71-6-6. DEFINITIONS.--As used in the Solar CollectorStandards Act: A. ""department"" means the energy, minerals and naturalresources department; and B. ""solar collector"" means a component that providesfor the collection and transfer of incident solar energy, such transfer to beeffected through a liquid or air medium primarily by mechanical means for usein water heating, space heating or cooling or other applications that normallyrequire or would require a conventional source of energy such as petroleumproducts, natural gas or electricity; but does not include a passive systemthat uses structural elements of a building to provide for the collection,storage and distribution of solar energy for heating or cooling without theuse of a motor-driven fan or pump."" Section 3. Section 71-6-7 NMSA 1978 (beingLaws 1981, Chapter 379, Section 17, as amended) is amended to read: ""71-6-7.DEPARTMENT--DUTIES RELATING TO SOLAR COLLECTOR STANDARDS.-- A. The departmentshall promulgate rules to: (1) define minimum standards for the durability andreliability of solar collectors; and (2) establish criteria for testing thedurability, reliability and thermal efficiency of solar collectors. B. Inpromulgating the rules required by Subsection A of this section, thedepartment shall: (1) consult with scientists, engineers and individuals inresearch centers and professional societies such as the American society oftesting and materials who are engaged in the construction of, experimentationwith and research of solar energy systems in order to make changes,modifications and improvements to the standards and certification program; (2)consider compliance costs to industry and, insofar as practicable, makeefforts to reduce such costs; and (3) consider similar standards and testingcriteria adopted by other states or included in nationally recognized andaccepted testing methodologies. C. The department shall approve testingfacilities that meet the criteria established by Paragraph (2) of Subsection Aof this section and that have no financial interest in the manufacture,distribution or sale of solar collectors. An approved testing facility that ispartially or wholly supported by state funds may collect a reasonable testingfee sufficient to cover the costs of testing."" Section 4. Section 71-6-8 NMSA1978 (being Laws 1981, Chapter 379, Section 18, as amended) is amended toread: ""71-6-8. CERTIFICATION.-- A. A person who manufactures, distributes orsells solar collectors may apply to the department for certification of thecollectors. The department shall certify the solar collectors if: (1) theapplicant submits test results performed by an approved testing facility thatshow that the collectors meet the minimum standards of durability andreliability and that indicate the thermal efficiency of the collectors; or (2)the applicant submits test results that show that the collectors meet theminimum standards of durability and reliability and that indicate the thermalefficiency of the collectors and the applicant submits proof that thecollectors have been certified or approved by another state or the federalgovernment and, in the opinion of the secretary of energy, minerals andnatural resources, the minimum standards and testing criteria of the otherstate or the federal government are at least as stringent as those establishedpursuant to the Solar Collector Standards Act. B. The department shallmaintain accurate records of all solar collectors that have been certifiedpursuant to Subsection A of this section, including the test results submittedto the department. The records shall be available for public inspection. C.Not more than once every two years, the department may require any applicantfor which solar collectors have been previously certified pursuant to thissection to submit additional or more recent test results. If the applicantcontinues to meet the requirements of Subsection A of this section, thecertification of the solar collectors shall be continued. If the applicantfails to submit the additional or more recent test results or if the applicantfails to continue to meet the requirements of Subsection A of this section,the department shall withdraw the certification previously issued and shall sonotify the applicant. D. The department shall promulgate rules necessary toimplement the provisions of this section.""",Equipment Certification,Regulatory Policy,0,NA,NA,NA,
2519,New Mexico,NM,2015 Sustainable Building Tax Credit (Personal),"_ **Note: This program was replaced by the2021 Sustainable Building TaxCredit.**_  S.B. 463, enacted in April 2007, established a personal tax credit and acorporate tax credit for sustainable buildings in New Mexico. The tax creditsapply to both commercial and residential buildings. Commercial buildings whichhave been registered and certified by the US Green Building Council at LEEDSilver or higher for new construction (NC), existing buildings (EB), core andshell (CS), or commercial interiors (CI) are eligible for a tax credit. Theamount of the credit varies according to the square footage of the buildingand the level of certification achieved, as indicated on the following chart:  **Commercial Buildings****LEED Rating Level** |  **Occupied Sq. Footage** |  **Tax Credit/Sq. Ft.**  ---|---|---  LEED-NC Silver |  First 10,000 |  $3.50  |  Next 40,000 |  $1.75  |  Over 50,000 and up to 500,000 |  $0.70  LEED-NC Gold |  First 10,000 |  $4.75  |  Next 40,000 |  $2.00  |  Over 50,000 and up to 500,000 |  $1.00  LEED-NC Platinum |  First 10,000 |  $6.25  |  Next 40,000 |  $3.25  |  Over 50,000 and up to 500,000 |  $2.00  LEED-EB/CS Silver |  First 10,000 |  $2.50  |  Next 40,000 |  $1.25  |  Over 50,000 and up to 500,000 |  $0.50  LEED-EB/CS Gold |  First 10,000 |  $3.35  |  Next 40,000 |  $1.40  |  Over 50,000 and up to 500,000 |  $0.70  LEED-EB/CS Platinum |  First 10,000 |  $4.40  |  Next 40,000 |  $2.30  |  Over 50,000 and up to 500,000 |  $1.40  LEED-CI Silver |  First 10,000 |  $1.40  |  Next 40,000 |  $0.70  |  Over 50,000 and up to 500,000 |  $0.30  LEED-CI Gold |  First 10,000 |  $1.90  |  Next 40,000 |  $0.80  |  Over 50,000 and up to 500,000 |  $0.40  LEED-CI Platinum |  First 10,000 |  $2.50  |  Next 40,000 |  $1.30  |  Over 50,000 and up to 500,000 |  $0.80    Residential buildings certified as sustainable homes can also qualify for atax credit. Eligible residential buildings include single-family homes andmulti-family homes which are certified as either Build Green NM Silver orhigher or LEED-H Silver or higher as well as Energy Star-certifiedmanufactured homes. The amount of the credit varies according to the squarefootage of the building and the level of certification achieved, as indicatedon the following chart:**Residential Buildings****Rating Level** |  **Occupied Sq. Footage** |  **Tax Credit/Sq. Ft.**  ---|---|---  LEED-H Silver or Build Green NM Silver |  First 2,000 |  $3.00  |  +2,000| $0  LEED-H Gold or Build Green NM Gold |  First 2,000 |  $4.50  |  +2,000 |  $0  LEED-H Platinum or Build Green NM Emerald |  First 2,000 |  $6.50  |  +2,000 |  $0  Energy Star Manufactured Home |  Up to 2,000 |  $3.00     **Applying for the Tax Credit**To receive the tax credit, the building owner must obtain a certificate ofeligibility from the Energy, Minerals and Natural Resources Department afterthe building project has been completed. Through 2016, the Department willonly grant certificates in any given calendar year until the equivalent of$1,000,000 worth of certificates for commercial buildings and $4,000,000 worthof certificates for residential buildings have been awarded in that calendaryear. Further, no more than $1,250,000 of the annual amount for residentialbuildings can be applied to manufactured housing. The cap is set at $1,250,000per year for commercial buildings and $3,375,000 per year for residentialbuildings beginning in 2017. Multi-family residential buildings are classifiedas residential buildings for the purpose of this tax credit. However, if theaggregate limit for residential tax credits has been reached for the year, theDepartment may issue certificates of eligibility under the annual aggregatelimit for commercial buildings to owners of multi-family dwelling unitsprovided that aggregate limit has not been reached as well. **Payout Schedule and Carry Forward**The taxpayer must then present their certificate of eligibility to theTaxation and Revenue Department to receive a document granting the SustainableBuilding Tax Credit. If the total amount of a Sustainable Building Tax Creditis less than $100,000, a maximum of $25,000 can be applied to the taxpayer'sincome tax in that year and the next 3 years as needed depending on the amountof the credit. If the credit is more than $100,000, the taxpayer can claim thecredit in increments of 25% in each of the 4 taxable years, including the yearin which the credit is approved. If a taxpayer's tax liability is less thanthe amount of credit due, the excess credit may be carried forward for up to 7years. **Transferability**The tax credit is transferable for nonprofits. Although nonprofits are nottaxed by the state, they can apply for the certificate of eligibility and sellthe credit to an entity that does pay taxes. Additionally, people and entitieswho do not owe enough taxes to take full advantage of the tax credit also havethe option of selling the tax credit. **Other Tax Credits**A solar thermal system or a photovoltaic system may not be used as a componentof qualification for this tax credit if a tax credit has already been claimedfor it under the Solar Market Development Tax Credit.",Personal Tax Credit,Financial Incentive,0,http://www.emnrd.state.nm.us/ECMD/CleanEnergyTaxIncentives/SBTC.html,01/01/2007,2007,
