policy_id,state_name,state_code,policy_name,summary,policy_type,program_category,published,websiteurl,start_date_text,start_year
1411,Nevada,NV,Nevada Power - Energy Assistance Program,"Nevada Power's Energy Assistance Program in conjunction with the State ofNevada's Welfare and Housing Divisions offers assistance in two categories:(1) Once a year aid on energy bill for qualifying low-income customers, and(2) Weatherization Assistance--aiding low-income households in theinstallation of various energy saving technologies. Applications can beprinted out from the Nevada Energy Connection website:http://www.nevadaenergyconnection.nv.gov/",Rebate Program,Financial Incentive,0,http://www.nevadapower.com/services/residential/assistance/,NA,NA
1415,Nevada,NV,NV Energy (Southern) - Residential Energy Efficiency Rebate Program,"NV Energy offers rebates for the installation of high efficiency A/C units,and home energy management tools for residential customers in southern Nevada.Complete details are located on the program website.",Rebate Program,Financial Incentive,0,https://www.nvenergy.com/save-with-powershift,NA,NA
1416,Nevada,NV,Sierra Pacific Power - Energy Assistance Program,"Sierra Pacific's Energy Assistance Program in conjunction with the State ofNevada's Welfare and Housing Divisions offers assistance in two categories:(1) Once a year aid on energy bill for qualifying low-income customers, and(2) Weatherization Assistance--aiding low-income households in theinstallation of various energy saving technologies. Applications can beprinted out from the Nevada Energy Connection website. Sierra Pacific alsooffers a Special Assistance Fund for Energy (S.A.F.E.) administered byvoluntary community service agencies throughout the state. See the website foran agency near you.",Rebate Program,Financial Incentive,0,http://www.sierrapacific.com/services/residential/assistance/,NA,NA
1417,Nevada,NV,Sierra Pacific Power - Agricultural Irrigation Rebate,"Sierra Pacific Power offers cash rebates to customers located in Nevada thatare served by either IS-1 or IS-2 rate schedules. Equipment must be purchasedbetween March 1, 2006 and November 1, 2006 to be eligible for a rebate. Fundsare limited for this program and are available on a first come first servebasis until available funds are exhausted. To apply for the rebate, fill outthe Irrigation Rebate Application",Rebate Program,Financial Incentive,0,http://www.nevadasurebet.com/ProjectCenter/Default.aspx?tabid=504,NA,NA
1487,South Carolina,SC,Duke Energy Progress- Rate Discount for Energy Star Homes,"Duke Energy Progress offers an incentive to residential customers forimproving the energy efficiency of homes. To qualify, the home must meet thestandards of the U.S. Environmental Protection Agency's Energy Star-labeledhome program and be verified by a registered third party. Customers witheligible houses will receive a 5% discount on monthly electric bills from DukeEnergy Progress. Contact Duke Energy Progress for more information on thisincentive program.",Utility Rate Discount,Financial Incentive,1,https://www.duke-energy.com/_/media/pdfs/for-your-home/rates/electric-sc/rr10scriderrecd.pdf?la=en,NA,NA
1490,South Carolina,SC,Duke Energy - Heating & Cooling Equipment Loan Program,"Duke Energy can help finance energy efficient home improvements through theirHeating and Cooling Loan Program. Eligible home improvements include Heatpumps, geothermal systems, dual fuel systems, central A/C units, central A/Cunits combined with gas and oil furnaces and thermal conditioning improvements(insulation, storm doors, and storm windows). The loan can be up to $10,000for heating and cooling systems and up to $3,000 for thermal conditioning. Theinterest rate can vary, so call the number below for the current rate. Fillout the application on their website to apply for the loan.",Loan Program,Financial Incentive,0,http://www.dukepower.com/scres/products/hvacloan.asp,NA,NA
1506,Iowa,IA,MidAmerican Energy - Residential Energy Efficiency Rebate Programs (detailed),"MidAmerican Energy Residential Equipment Rebate Program offers rebates to itsresidential home-owning customers for the purchase of energy-efficient heatingand cooling appliances. Rebates range from $50-$600 for natural gas furnaces,natural gas boilers, air conditioners, natural gas water heaters, and air-source or geothermal heat pumps. A printable version of the rebate applicationis located on the program website. MidAmerican Energy also offers a free homeenergy check for customers who live in (and own) a home built prior to Dec.31, 1994, and the primary heating energy is supplied directly by MidAmerican.The HomeCheck program can help customers identify areas in their homes wherethey can make the most significant energy efficiency improvements. During theassessment, an energy specialist will check the home's insulation levels, theefficiency of the heating, cooling and water heating equipment and thecondition of the home's windows. There are a number of improvements thespecialist can make during the inspection including the addition of a waterheater insulation blanket, six feet of water pipe insulation, water controls,a water bed mattress pad, and up to six energy-efficient light bulbs.Customers can call 800-894-9599 to request a HomeCheck.",Rebate Program,Financial Incentive,0,http://www.midamericanenergy.com/html/service14.asp,NA,NA
1507,Iowa,IA,MidAmerican Energy (Gas and Electric) - Residential EnergyAdvantage Loan Program,"MidAmerican Energy's EnergyAdvantage Financing Program, in partnership withFirst American Bank, offers Iowa residential energy customers below-primefinancing on installation of qualifying energy efficient equipment. Customersmay be eligible for a rebate or financing, but not both. The minimum loanamount available to customers is $1,000. Interested parties should callMidAmerican for rates and visit the program web site for detailed programbrochures. Ratings for central air conditioners must be based on a newcondensing unit with a new matched evaporator coil.",Loan Program,Financial Incentive,0,http://www.midamericanenergy.com/ee/ia_res_financing.aspx,NA,NA
1508,Iowa,IA,MidAmerican Energy - BusinessCheck Energy Efficiency Program,"MidAmerican Energy's BusinessCheck program offers free on-site energy auditsof small commercial facilities within the MidAmerican service region. EnergySpecialist will recommend energy saving measures and will have availableseveral energy efficient options ready to install during the visit. Auditapplication is available from the BusinessCheck Program Website, call forinformational brochure.",Loan Program,Financial Incentive,0,http://www.midamericanenergy.com/html/energy6j.asp,NA,NA
1513,Iowa,IA,MidAmerican Energy - EnergyAdvantageÂ® New Homes Program,"MidAmerican Energy's New Homes Program provides builders with a comprehensivelist of prescriptive measures to guide the construction of energy efficienthomes and offers a rebate for complying with those standards. The offer isapplicable to single family home construction within MidAmerican'sdistribution region. The rebates pay approximately 50% of the incremental costof the upgrades up to $1,750, and vary depending on the type and efficiency ofthe equipment installed. To be eligible for the rebate, homes must fulfill thequalifications described on the 2009 specifications sheet.",Rebate Program,Financial Incentive,0,http://midamericanenergy.com/html/energy3b.asp,NA,NA
1514,Iowa,IA,MidAmerican Energy - Lighting Equipment Program,"MidAmerican Energy's Lighting Equipment Program offers businesses within theirdistribution region rebates on the purchase of high-efficiency lightingequipment including fluorescent T-8 and T-5 systems, including high-bayfixtures; reduced-wattage metal halide lamps; compact fluorescent lamps andfixtures; occupancy sensors; and LED exit signs and traffic lighting. Toparticipate in MidAmerican Energy's Lighting Equipment Program print andcomplete the application form. High-bay lighting purchases require asupplemental information form.",Rebate Program,Financial Incentive,0,http://midamericanenergy.com/html/energy6b.asp,NA,NA
1516,Iowa,IA,MidAmerican Energy - Custom Systems Energy Efficiency Program,"MidAmerican Energy's Custom Systems Program offers businesses within itsdistribution region rebates or financing on the purchase and installation ofbuilding systems equipment in existing buildings. These incentives are forlarge space heating and cooling systems and control systems and other measuresnot addressed in other EnergyAdvantage programs. Rebate level for customenergy efficiency projects will be customized based upon the equipment'sincremental cost, peak demand reduction, annual energy use reduction andannual energy cost savings. To participate in this program submit a proposalto MidAmerican for pre-approval, indicating either financing or rebate.MidAmerican Energy also offers assistance in designing energy efficiencyprojects to meet individual customer's needs. Examples of energy-efficientequipment that may qualify for financing or rebates are:  Boilers over 2.5 million Btu input capacity;  Ground-source heat pump systems 135 million Btuh or greater;  Premium-efficiency motors over 200 HP;  Process boiler, chiller and refrigeration improvements;  Energy management systems;  Direct-fired heating systems;  Thermal energy storage;  Variable air volume conversions;  Heat recovery systems;  New and replacement window systems; and  Insulation upgrade projects.  To participate in this program print and complete the application form.",Rebate Program,Financial Incentive,0,http://midamericanenergy.com/html/energy6d.asp,NA,NA
1517,Iowa,IA,MidAmerican Energy - Motors and Variable Speed Drives Energy Efficiency Program,MidAmerican Energy's Motors and Variable Speed Drives Program offersbusinesses within their distribution region incentives for installation ofenergy-efficient motors and/or variable speed drive equipment. Incentives areoffered to eligible equipment installations in the form of a cash rebate orbelow-prime financing (prime rate minus 1 percent). To participate in thisprogram print and complete the application form.,Rebate Program,Financial Incentive,0,http://midamericanenergy.com/html/energy6g.asp,NA,NA
1518,Iowa,IA,MidAmerican Energy (Gas and Electric) - Commercial New Construction Energy-Efficiency Program,"MidAmerican Energy's Commercial New Construction Program offers incentives tobusinesses for energy-efficient construction and design of new or pre-existingbuildings. A minimum energy savings of 15% beyond that required by the stateof Iowa code is required to qualify.Participants receive complimentary energy design assistance and a customizedenergy model that simulates energy use for the project demonstrating whichefficiency strategies have the greatest impact and are most cost-effective.Through a series of meetings, strategies are selected by the owner and designteam, with the assistance of an energy design consultant. **Design Team Incentive**Design incentives are based on the square footage and type of building. Adesign team incentive is provided to the owner’s team of professionalsassisting in the Commercial New Construction program to help offset expensesassociated with program participation. Design Team incentives start at $1,000for buildings of 5,000 - 15,000 square feet and extend to $8,500 for buildingslarger than 15,000 square feet that use advanced custom efficiency strategiesthat produce energy savings of at least 40%.**Construction Incentive**Construction Incentives are paid to the building owner based on the kilowatt-hour (kWh) or therm savings modeled and verified as installed by anindependent modeler contracted by MidAmerican Energy. Construction incentivesrange from $0.06 to $0.19 per kWh saved and $0.60 to $1.90 per therm saved.The independent modeler will analyze potential energy savings and produce afinal energy verification report. Customers who participate in this programare ineligible for rebates from other MidAmerican EnergyAdvantage programs.See the program website for more details.",Rebate Program,Financial Incentive,0,http://www.midamericanenergy.com/ee/ia_bus_comm_new_construction.aspx,NA,NA
1563,Connecticut,CT,Connecticut Appliance and Equipment Energy Efficiency Standards,"**_NOTE: The federal government has imposed and updated appliance efficiencystandards through several legislative acts,* and now has standards in place orunder development for 30 classes of products. In general, states which had setstandards prior to federal action may enforce their own standards until thefederal standards take effect. States that had not set standards prior tofederal action must use the federal standards. This summary addresses (1)state appliance standards that will be in place until the federal standardstake effect and (2) products for which the federal government is not currentlydeveloping an efficiency standard. Much of the information in this summarycomes from the Appliance Standards Awareness Project (ASAP). Visit the ASAPweb site for comprehensive information about appliance standards. _**    Connecticut enacted efficiency standards through legislative actions in 2004and 2007 and 2011. This law covers the following products that have not beenpre-empted by federal standards:  (Dates listed in parenthesis signify the year the standard took effect.)  * Bottle-type water dispensers (2009)*  * Commercial hot food holding cabinets (2009)*  * Hot tubs (2009)*  * Swimming pool pumps (2010)  * Compact Audio Equipment (2014)**  * DVD Players and Recorders (2014)**  * Televisions (2014)**The standards apply to products manufactured in Connecticut and sold insidethe state. Manufacturers must certify to the Secretary of the Office of PolicyManagement that products comply with the regulations.    The standards must be reviewed biennially and increased if it is determinedthat increased efficiency standards would serve to promote energy conservationand would be cost-effective for consumers. Standards for additional productsmay be adopted if it is determined that they would serve to promote energyconservation in the state, would be cost-effective for consumers, and thatmultiple products are available which meet such standards.      _* These acts include the National Appliance Energy Conservation Act of 1987,the Energy Policy Act of 1992, the Energy Policy Act of 2005, and the EnergyIndependence and Security Act of 2007.__**Adopted per legislation enacted July 2011 (SB 1243)._",Appliance/Equipment Efficiency Standards,Regulatory Policy,1,http://www.ct.gov/deep/cwp/view.asp?a=4120&Q=481608,NA,NA
1570,Iowa,IA,Alliant Energy Interstate Power and Light - Residential Energy Efficiency Rebate Programs,"Interstate Power and Light (Alliant Energy) offers residential energyefficiency rebates for Iowa customers for a variety of technologies. Rebatesare available for the following:    1. Power strips  2. Heat pumps  3. Appliance recycling  4. Air conditioners  5. Water heaters  6. Equipment tune-ups  7. Level 2 EV chargers  8. Gas furnaces  9. Geothermal systems  10. Programmable thermostats  11. LED lighting  12. Pool pumps  IPL also offers incentives through the New Home Construction Program, as wellas a free Online Home Energy Assessment. New Home Construction rebates varydepending on the square footage of the home, and whether or not the homereceives heating and/or cooling energy from Alliant Energy-IPL. Rebates under$500 are provided to customers in the form of a prepaid MasterCard, whilerebates above $500 will arrive by mail as a check. In addition to the abovepre-determined rebates, the Alliant Energy Marketplace offers energy-efficiency products at discounted prices.",Rebate Program,Financial Incentive,1,https://www.alliantenergy.com/waystosave/rebatesandmarketplace/rebatelocatortool?utm_source=WS&utm_campaign=Legacy&utm_medium=WaysToSave/Rebates/RebateLocatorTool,NA,NA
1572,Iowa,IA,Alliant Energy Interstate Power and Light (Gas and Electric) - New Home Construction Incentives,"Interstate Power and Light's New Home Program gives incentives to builders andcontractors who build energy efficient homes. A base rebate is available tothose customers that make the minimum energy efficiency levels, based on thesize of the house. Base reward amounts will be prorated for homes less than1,800 square feet in size. Incentive payment for the base reward can be paidto the builder or the homeowner but cannot be split. Additional rebates areavailable for homes meeting a 47 and 42 for their HERS score and for homesusing a qualified geothermal system.",Rebate Program,Financial Incentive,0,http://www.alliantenergy.com/SaveEnergyAndMoney/Rebates/HomeIA/030047,NA,NA
1573,Iowa,IA,Alliant Energy Interstate Power and Light (Gas and Electric) - Low Interest Energy Efficiency Loan Program,"Interstate Power and Light (Alliant Energy), in conjunction with Wells FargoBank, offers a low-interest loan for residential, commercial and agriculturalcustomers who purchase and install energy efficient measures. If a loan termof 12 months or less is chosen, the customer is eligible for a loan with nointerest; longer terms are eligible for the 6.9% interest rate. All measuresmust meet minimum efficiency standards and be confirmed before installation inorder to be eligible for this program.    If a customer qualifies for this loan's bank requirements, they will not haveto pay any loan processing fees, points, down payments or security liens.Other incentives provided by Interstate Power and Light may not be used forthe measures in addition to this loan. Further information on the eligibletechnologies and how to apply for the loan are available at the program website.",Loan Program,Financial Incentive,0,http://www.alliantenergy.com/SaveEnergyAndMoney/AdditionalWaysSave/FinancingOptions/029903,NA,NA
1574,Iowa,IA,Alliant Energy Interstate Power and Light - Farm Equipment Energy Efficiency Incentives,"**Rebates are issued on a first-come, first-served basis. Rebates andincentives are offered until approved funds are exhausted or through Dec. 31,2023, whichever comes first. Submission of claim form does not guaranteepayment. Alliant Energy reserves the right to modify or end this rebateprogram at any time without prior notice.**  Interstate Power and Light (Alliant Energy) offers prescriptive rebates for avariety of energy efficient products for agricultural customers. This includesrebates for lighting, automatic milkers, refrigeration, heat mats, grain binsand dryers, heat reclamation, livestock equipment, milk precoolers, motors,variable speed drives, and custom rebates. Visit the program website for moreinformation on these incentives.",Rebate Program,Financial Incentive,1,https://www.alliantenergy.com/WaysToSave/Rebates/RebateLocatorTool,NA,NA
1575,Iowa,IA,Alliant Energy Interstate Power and Light (Gas) - Business Energy Efficiency Rebate Programs,"Interstate Power and Light (IPL) offers a wide variety of incentives forcommercial customers to save energy in eligible facilities, whether they areupgrading existing facilities or building new ones. IPL also offers a freebusiness energy audit program. Landlords and renters of multi-family homes canalso take advantage of various cash-back rewards for energy-efficientequipment in the residential and commercial programs. **Existing Facilities**IPL offers standard rebates for a variety of appliances; heating, cooling andhot water equipment; lighting; food service and refrigeration equipment;premium efficiency motors and variable speed drives; and vending machinecontrollers. A Cash Rewards Booklet can be found on the program web siteoutlining incentive amounts and program guidelines. This booklet details whichincentives are specifically available to gas and electric customers. **Commercial New Construction**IPL's Commercial New Construction program offers commercial customersincentives for both the design of high efficiency buildings as well as theconstruction. Design team incentives are based on the square footage of thebuilding. Construction incentives are per kilowatt-hour plus an additional pertherm rebate. Further information on incentive amounts, constructionspecifications, and how to apply are located on the program web site.",Rebate Program,Financial Incentive,0,http://www.alliantenergy.com/SaveEnergyAndMoney/Rebates/BusIA/index.htm,NA,NA
1579,Oregon,OR,Oregon Appliance and Equipment Energy Efficiency Standards,"_Note: The federal government has imposed and updated appliance efficiencystandards through several legislative acts,* and now has standards in place orunder development for 30 classes of products. In general, states that had setstandards prior to federal action may enforce their own standards until thefederal standards take effect. States that had not set standards prior tofederal action must use the federal standards. This summary addresses (1)state appliance standards that will be in place until federal standards takeeffect and (2) products for which the federal government is not currentlydeveloping an efficiency standard. Much of the information in this summarycomes from the Appliance Standards Awareness Project (ASAP). Visit the ASAPweb site for comprehensive information about appliance standards. _      In June 2005, Oregon passed legislation setting minimum energy efficiencystandards for 11 appliances. The standards have been updated to includeadditional products, most recently by Senate Bill 692 of 2013 and HB 2062 of2021. Those products regulated by Oregon law and not currently covered byfederal standards include:  1. Commercial refrigerators and freezers (2008)  2. Bottle-type water dispensers (2009)  3. Commercial hot food holding cabinets (2009)  4. Compact audio products (2009)  5. Digital versatile disc players and digital versatile disc recorders (2009)  6. Portable electric spas (2009)  7. Battery charger systems (2014)  8. Televisions (2014)  9. High light output double-ended quartz halogen lamps (2016)  10. Commercial Fryers (2022)  11. Commercial Steam Cookers (2022)  12. Computers and Computer Systems (2022)  13. High-CRI Linear Fluorescent Lamps (2022)  14. Portable Electric Spas (2022)  15. Residential Ventilating Fans (2022)Dates listed in parenthesis signify the effective year.Testing requirements and minimum efficiency standards are outlined in theregulations. The standards do not apply to products installed in a mobile ormanufactured home at the time of construction or designed expressly forinstallation and use in recreational vehicles. The law stipulates that theState Department of Energy must periodically review the minimum energyefficiency standards and report to the Legislative Assembly when the standardsneed to be updated, due to federal action or to the outcome of collaborativeconsultations with manufacturers and the energy departments of other states.      _* These acts include the National Appliance Energy Conservation Act of 1987,the Energy Policy Act of 1992, the Energy Policy Act of 2005, and the EnergyIndependence and Security Act of 2007._",Appliance/Equipment Efficiency Standards,Regulatory Policy,1,http://www.oregon.gov/energy/cons/stateregulatedappliancestandards.shtml,NA,NA
1582,Rhode Island,RI,Rhode Island Appliance and Equipment Energy Efficiency Standards,"_**NOTE:** **The federal government has imposed and updated applianceefficiency standards through several legislative acts,* and now has standardsin place or under development for 30 classes of products. In general, stateswhich had set standards prior to federal action may enforce their ownstandards until the federal standards take effect. States that had not setstandards prior to federal action must use the federal standards. This summaryaddresses (1) state appliance standards that will be in place until thefederal standards take effect and (2) products for which the federalgovernment is not currently developing an efficiency standard. Much of theinformation in this summary comes from the Appliance Standards AwarenessProject (ASAP). Visit the ASAP web site and the U.S. Department of Energy'sAppliance and Equipment Standards site for comprehensive information aboutappliance standards.**_Rhode Island’s Energy and Consumer Savings Act of 2005 established minimumenergy efficiency standards for twelve commercial and residential products,nine of which were immediately preempted by federal law later that year, andanother of which was preempted later. Rhode Island has adopted and enforcesstandards for bottle-type water dispensers, mercury vapor lamp ballasts andcommercial hot-food holding cabinets.On July 1, 2021, the Rhode Island General Assembly passed SB339, codifying newwater and energy efficiency standards effective immediately at passage.Products with new or updated energy standards, without federal preemption arelisted below:  * Commercial Fryers  * Commercial hot-food holding cabinets  * Commercial steam cookers  * Electric Vehicle Supply Equipment  * Gas fire places  * Water coolersThese provisions do not apply to: new products manufactured in the state andsold outside the state; new products manufactured outside the state and soldat wholesale inside the state for final retail sale and installation outsidethe state; products installed in mobile manufactured homes at the time ofconstruction; or products designed expressly for installation and use inrecreational vehicles.  _* These acts include the National Appliance Energy Conservation Act of 1987,the Energy Policy Act of 1992, the Energy Policy Act of 2005, and the EnergyIndependence and Security Act of 2007._",Appliance/Equipment Efficiency Standards,Regulatory Policy,1,NA,NA,NA
1619,Connecticut,CT,Connecticut Clean Energy Communities,"The Clean Energy Communities program, offered by the Clean Energy Finance &Investment Authority and the Connecticut Energy Efficiency Fund, offersincentives for communities that pledge their support for energy efficiency andclean, renewable energy.In order to participate in the program, a municipality must meet threerequirements:1\. The municipality must make the **Municipal Energy Efficiency Pledge** andreduce municipal building energy consumption 20% from baseline levels by 2018.2\. Commit to the **Municipal Clean, Renewable Energy Pledge** and purchase20% of municipal buildings' energy use by 2018 from renewable sources;3. Achieve milestones in support of energy efficiency and clean, renewable energy. Communities receive energy efficiency points or renewable energy points depending on the milestones achieved.Once communities earn 100 energy efficiency points, they are eligible for a**_Bright Idea Grant_** ranging from $5,000 to $15,000. Additionally, aftercommunities earn 100 renewable energy points, they are eligible for a cleanenergy system equivalent to 1 kilowatt (kW) of solar PV. Other small bonusawards are also included for communities acheiving special milestones in theirplan._* Additional criteria apply. See the program web site for details._",Green Power Purchasing,Regulatory Policy,0,NA,NA,NA
1646,Connecticut,CT,Community Innovations Grant Program,"The Community Innovations Grants Program provides funding for communities toincrease voluntary support for clean energy and to build model sustainablecommunities.    Cities, towns and municipalities are eligible to receive a grant of $4,000,which they will disperse to local groups and individuals as ""micro-grants"" of$250 to $2,000. To be eligible, cities or towns must commit to the state's""20% by 2010 Campaign"" and the EPA Community Energy Challenge. Municipalitiesthat have previously received a Community Innovations Grant are not eligiblefor this grant. At least 10 ""at-large"" recipients may receive a micro-grant ofup to $1,000. ""At-large"" recipients include individuals who live in cities andtowns that have not yet committed to the ""20% by 2010"" campaign, as well asnon-profit organizations based in Connecticut.    The grants are awarded to eligible communities, and the funds are managed by alocal energy task force in each participating community. In turn, these energytask forces, through a grant-giving process, provide micro-grants toorganizations and citizens to start local projects that support clean-energyawareness and education within their communities. Applicants for individualmicro-grants may apply to the local energy task force for funds ranging from$250 to $2,000 to support a public-awareness project or education projectaddressing the benefits and availability of clean energy.    The Clean Energy Finance and Investment Authority community search tool willlet interested users know whether or not specific communities are eligible fora Community Innovations Grant or not.    This program is supported by the Clean Energy Finance and Investment Authority(CEFIA), which is funded via a surcharge on electric ratepayers' utilitybills.",Grant Program,Financial Incentive,0,http://www.ctcleanenergy.com/grants,NA,NA
1664,Oregon,OR,Avista Utilities (Gas) - Prescriptive Commercial Incentive Program,"**_Note: Energy Trust of Oregon is now administering this program on behalf ofAvista Utilities. Seethis page for information about Energy Trust Oregon'sincentives. _**Avista Utilities offers Natural Gas saving incentives to commercial customerson rate schedule 420 and 424. This program provides rebates for a variety ofequipment and appliances including cooking equipment, dishwashers, furnaces,refrigeration night curtains, insulation measures and site specific efficiencymeasures. Rebate amounts range based upon size, model and efficiency. In orderto receive a rebate, follow all instructions and procedures identified on theOregon Prescriptive Commercial Incentives Form and on the program website.    If a commercial customer does not qualify for the Prescriptive program, Avistawill consider them for the Site Specific program by conducting an audit anddetermining what measures will qualify and the incentives. Copies ofpurchases, itemizing new equipment must accompany form and rebate paymentscannot exceed 50% of invoiced cost.Contact Avista Utilities with any questions regarding the program and itsrequirements, and before starting an energy efficiency project.",Rebate Program,Financial Incentive,0,https://www.avistautilities.com/business/rebates/oregon/Pages/default.aspx,NA,NA
1666,Oregon,OR,Avista Utilities (Gas) - Oregon Residential Energy Efficiency Rebate Program,"** _Note: Energy Trust of Oregon is now administering this program on behalfof Avista Utilities. Seethis page for information about Energy Trust Oregon'sincentives. _**Avista Utilities offers a variety of equipment rebates to Oregon residentialcustomers. Rebates are available for boilers, furnaces, insulation measures,and windows. All equipment must meet certain energy efficiency standardslisted on the program web site. A complete rebate application must be turnedin along with a copy of the customers' final invoice to qualify for therebate.    Avista Utilities also provides a free in-home inspection to evaluate the costand benefits associated with weatherizing your home. This free analysis isavailable to qualified Oregon residential customers who use natural gas as themain source of heat. Weatherization Analysis Request Forms can be found on theprogram web site.    After the home inspection is complete, the customer may request either a loanor rebate from Avista Utilities for weatherization work not yet started orcompleted prior to the Home Energy Analysis. Incentives are calculated afterthe in-home inspection is completed.",Rebate Program,Financial Incentive,0,http://www.avistautilities.com/savings/rebates/Pages/OregonResidentialCustomer.aspx,NA,NA
1667,Oregon,OR,Avista Utilities (Gas) - Oregon Residential Weatherization Program,"Avista will provide a free in home inspection to evaluate the cost andbenefits associated with weatherizing a home. This free analysis is availableto Avista's qualified Oregon residential customers who use natural gas astheir main source of heat.    After an in-home inspection is complete, customers may request either a cashrebate or a loan from Avista for weatherization.   Work must not have beenstarted prior to the Home Energy Analysis. Incentives and financing of up to$5,000 per dwelling is provided after approval of credit. No down payment isrequired, repayment terms are up to ten years, and flexible payments start at$15 per month per loan.",Loan Program,Financial Incentive,0,http://www.avistautilities.com/savings/rebates/pages/OregonResidentialCustomer.aspx,NA,NA
1668,Oregon,OR,Pacific Power - Irrigation Initiative for Free Pump Testing,"Pacific Power offers their customers pump efficiency testing during the 2006irrigation season. Once pumps have been tested, customers may apply for anincentive for recommended pump repairs or replacements. Incentives are 30percent of eligible energy efficiency measure costs. Visit Avista's websitefor program information and forms.",Rebate Program,Financial Incentive,0,http://www.irrigationinitiative.net/pumps.html,NA,NA
1670,Oregon,OR,Portland General Electric - Weatherization Incentives Program,"Portland General Electric's (PGE) Weatherization Incentive Program,administered by the Energy Trust of Oregon, offers a variety of incentives totheir customers for weatherization measures taken. **Incentives for electricheated site-built homes vary based on measures** Windows: $2.25 per sq footInsulation: Ceiling: $.25 per sq. ft.; Floor: $.45 per sq. ft.; Wall: $.30 persq. ft. Air Sealing: Up to $400 ($1 per CFM reduction); blower door testrequired High-efficiency heat pumps: $200-$400 Duct work: Duct Insulation: 50%of cost, up to $100, Duct Sealing: $1 per CFS reduction, up to $400. Bonus formultiple measures taken simultaneously. For more information, visit PGE'swebsite or contact the Energy Trust of Oregon at 866-ENTRUST.",Rebate Program,Financial Incentive,0,http://www.portlandgeneral.com/home/energy_savings/money_back/eto_incentives.aspx,NA,NA
1673,Oregon,OR,Portland General Electric - Clothes Washer Rebate Program,"Portland General Electric's (PGE) Clothes Washer Incentive, managed by theEnergy Trust of Oregon offers a $75-$100 mail-in rebate on ENERGY STARqualified clothes washers with a Modified Energy Factor (MEF) of 2.0 or higherpurchased between Jan. 1 and Dec. 31, 2008. The rebate is for $75 for aclothes washer with a MEF of 2.0 to 2.19 and $100 for a clothes washer with aMEF of 2.2 or higher. Program information can be found on PGE's websitE.Customers can Click here for a list of qualifying washers, here for a list ofparticipating retailers, or here for a mail-in rebate application form.",Rebate Program,Financial Incentive,0,http://www.portlandgeneral.com/home/energy_savings/money_back/eto_incentives.aspx,NA,NA
1674,Oregon,OR,Portland General Electric - Residential Energy Efficiency Rebate Program,Portland General Electric's (PGE) Residential Energy Efficiency Rebate Programoffers offers a variety of rebates to residential customers for energyefficient improvements. See the program web site or contact the utility foradditional information on program incentives and guidelines.,Rebate Program,Financial Incentive,1,https://www.portlandgeneral.com/residential/energy-savings/special-offers-incentives,NA,NA
1691,Connecticut,CT,DPUC - Capital Grants for Customer-Side Distributed Resources,"Connecticut offers grants to retail end-use customers of electric distributioncompanies for the installation of customer-side distributed resources.Customer-side distributed resources are defined as ""(A) the generation ofelectricity from a unit with a rating of not more than sixty-five megawatts onthe premises of a retail end user within the transmission and distributionsystem including, but not limited to, fuel cells, photovoltaic systems orsmall wind turbines, or (B) a reduction in the demand for electricity on thepremises of a retail end user in the distribution system through methods ofconservation and load management, including, but not limited to, peakreduction systems and demand response systems."" This program took effect inMarch 2006. Eligible baseload distributed generation (DG) projects willreceive an award of $450 per kilowatt (kW). Electric distribution companieswill purchase excess generation from the projects at the company's non-firmtariff rate. Renewable-energy projects are generally eligible, but they mayreceive more funding via programs administered by the Connecticut Clean EnergyFund (CCEF). Awards for conservation and load-management projects will bedetermined on a case-by-case basis; interested applicants for these projectsshould contact Connecticut Light and Power (CL&P;) or United Illuminating(UI). The following conditions apply:  * There is no minimum project size.   * The customer-generator must have submitted a completed interconnection application to the electric distribution company after July 21, 2005.   * New or incremental capacity is eligible for grants. Existing capacity is not eligible.   * Gas air conditioning and gas chillers are not eligible.   * Projects that receive funding from the Connecticut Energy Efficiency Fund or from the CCEF are eligible, but the total grant may not exceed the amounts listed above.A grant payment will be issued to the customer-generator after (1) theDepartment of Public Utility Control receives security equal to 50% of thegrant amount; (2) the DPUC receives an affidavit that the project hascompleted final acceptance of the applicable interconnection process,including satisfactory commissioning test; and (3) the project is operational.",Grant Program,Financial Incentive,0,http://www.state.ct.us/DPUC/dg.htm,7/21/2005,2005
